Loaded module: cuda/11.8
Running Task 9 (CuPy)
Mon Apr 27 10:37:25 CEST 2026
building_id, mean_temp, std_temp, pct_above_18, pct_below_15
10000, 14.01309122344052, 6.3674641354189685, 30.944631297240605, 55.5260207587429
10009, 11.000222287743142, 5.811129631204464, 16.6712734948236, 74.9723590310584
10014, 14.744533231124421, 7.0375255771882985, 38.26367541377415, 52.80837116508215
10019, 14.735854091157831, 7.030137358275137, 38.150171412294895, 52.92723370057273
10029, 10.616114323778131, 6.317274294547088, 18.25563221896085, 74.51301795448481
10031, 12.50798564383147, 6.278257732148664, 24.04914120731815, 66.39218690157028
10051, 13.289463066934816, 5.9990610690822015, 25.97693550756574, 62.85625091817247
10053, 11.36670662107952, 6.261159275392185, 19.9510754583921, 72.41052538787024
10056, 14.220175763226898, 6.179458577529562, 31.763454814173965, 57.06174975667784
10064, 12.717852832542777, 6.964230948402327, 28.796234159056205, 62.7520205409506
Mon Apr 27 10:37:42 CEST 2026
